,NLC,Origin TLC,Station Name,postcode,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,"1011
Entries & Exits","%-change, 2010-11 to 2011-12",Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources,lat,long
625,9943,CRO,Croy,G65 9HT,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"148,003","261,196","180,348","589,547","148,003","261,196","180,348","589,547","1,179,094","1,140,064",3,0,0,0,,,,
626,5356,CYP,Crystal Palace,SE19 2AZ,London,Greater London,Bromley,UKI2,Outer London,Southern,,,London Travelcard Area Station,"253,743","350,380","459,274","1,063,397","253,743","350,380","459,274","1,063,397","2,126,794","1,868,566",14,"574,812",1,0,Ramp-up of demand due to London Overground improvememts,,51.41817,-0.07258099999999999
627,2305,CUD,Cuddington,CW8 2UH,North West,Cheshire,Vale Royal,UKD2,Cheshire,Northern Rail,,,,"11,360","16,349","1,779","29,488","11,360","16,349","1,779","29,488","58,976","58,984",-0,0,0,0,,,,
628,6008,CUF,Cuffley,EN6 4HY,East,Hertfordshire,Welwyn Hatfield,UKH2,Bedfordshire and Hertforshire,First Capital Connect,,,,"80,957","75,145","173,075","329,177","80,957","75,145","173,075","329,177","658,354","623,988",6,0,0,0,,,,
629,3107,CUM,Culham,OX14 3BT,South East,Oxfordshire,South Oxfordshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,,"5,162","3,919","15,294","24,375","5,162","3,919","15,294","24,375","48,750","46,014",6,0,0,0,,,51.653809,-1.2364700000000002
630,8625,CUA,Culrain,IV27 4ET,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,,214,49,0,263,214,49,0,263,526,"1,708",-69,0,0,1,Main source of passengers is Carbisdale Castle Youth Hostel which has been closed for refurbishment since March 2011,http://www.northern-times.co.uk/News/Huge-blow-to-economy-as-hostel-fails-to-open-05042012.htm,57.926806000000006,-4.401096
631,9721,CUB,Cumbernauld,G67 2UH,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"39,256","45,799","27,788","112,843","39,256","45,799","27,788","112,843","225,686","227,320",-1,"2,442",0,0,,,,
632,9121,CUP,Cupar,KY15 5HX,Scotland,Fife,Fife,UKM2,Eastern Scotland,First ScotRail,,,,"34,528","46,405","17,418","98,351","34,528","46,405","17,418","98,351","196,702","203,658",-3,0,0,0,,,56.317271,-3.009138
633,9218,CUH,Curriehill,EH14 4AA,Scotland,Edinburgh City Of,Edinburgh City Of,UKM2,Eastern Scotland,First ScotRail,,,,"11,697","8,443","6,311","26,451","11,697","8,443","6,311","26,451","52,902","49,270",7,0,0,0,,,55.899221999999995,-3.32827
634,5201,CUX,Cuxton,ME2 1AB,South East,Medway,Medway,UKJ4,Kent,Southeastern,,,,"7,596","7,191","6,958","21,745","7,596","7,191","6,958","21,745","43,490","39,018",11,0,1,0,Cause of large increase not clear,,,
635,3981,CMH,Cwmbach,CF44 0AG,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,"7,725",493,845,"9,063","7,725",493,845,"9,063","18,126","19,234",-6,0,0,0,,,51.701347,-3.413702
636,3738,CWM,Cwmbran,NP44 1QX,Wales - Cymru,Torfaen - Tor-Faen,Torfaen - Tor-Faen,UKL2,East Wales,Arriva Trains Wales,,,,"104,033","28,197","31,623","163,853","104,033","28,197","31,623","163,853","327,706","317,582",3,0,0,0,,,51.658466,-3.016968
637,4147,CYN,Cynghordy,SA20 0LY,Wales - Cymru,Carmarthenshire - Sir Gaerfyrddin,Carmarthenshire - Sir Gaerfyrddin,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,433,150,0,583,433,150,0,583,"1,166","1,628",-28,0,0,1,Very small absolute number of entries and exits,,52.049607,-3.7500910000000003
638,7440,DDK,Dagenham Dock,RM9 6PT,London,Greater London,Barking And Dagenham,UKI2,Outer London,c2c,,,London Travelcard Area Station,"31,080","29,823","114,809","175,712","31,080","29,823","114,809","175,712","351,424","344,322",2,0,0,0,,,,
639,2777,DSY,Daisy Hill,BL5 2JQ,North West,Greater Manchester,Bolton,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,,"19,364","44,031","66,346","129,741","19,364","44,031","66,346","129,741","259,482","241,480",7,0,0,0,,,,
640,9135,DAG,Dalgety Bay,KY11 9HZ,Scotland,Fife,Fife,UKM2,Eastern Scotland,First ScotRail,,,,"40,591","43,060","48,434","132,085","40,591","43,060","48,434","132,085","264,170","246,790",7,0,0,0,,,56.041986,-3.3603330000000002
641,8711,DAL,Dalmally,PA33 1AY,Scotland,Argyll And Bute,Argyll And Bute,UKM4,Highlands and Islands,First ScotRail,,,,"1,475",327,-1,"1,801","1,475",327,-1,"1,801","3,602","4,696",-23,0,0,0,,,56.402105000000006,-4.971579
642,9790,DAK,Dalmarnock,G40 4HG,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"13,992","14,405","11,383","39,780","13,992","14,405","11,383","39,780","79,560","76,982",3,0,0,0,,,,
643,9415,DAM,Dalmeny,EH30 9JU,Scotland,Edinburgh City Of,Edinburgh City Of,UKM2,Eastern Scotland,First ScotRail,,,,"43,740","57,143","76,922","177,805","43,740","57,143","76,922","177,805","355,610","351,306",1,0,0,0,,,55.98530600000001,-3.3799949999999996
644,9992,DMR,Dalmuir,G81 3QT,Scotland,West Dunbartonshire,West Dunbartonshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"131,334","97,164","172,474","400,972","131,334","97,164","172,474","400,972","801,944","744,184",8,"69,020",0,0,,,,
645,9864,DLR,Dalreoch,G82 4AD,Scotland,West Dunbartonshire,West Dunbartonshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"38,242","36,089","86,790","161,121","38,242","36,089","86,790","161,121","322,242","337,210",-4,0,0,0,,,,
646,9483,DLY,Dalry,KA24 4DE,Scotland,North Ayrshire,North Ayrshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"27,846","25,779","29,750","83,375","27,846","25,779","29,750","83,375","166,750","167,594",-1,0,0,0,,,55.706331000000006,-4.70967
647,2077,DLS,Dalston,CA5 7LT,North West,Cumbria,Carlisle,UKD1,Cumbria,Northern Rail,,,,"8,169","1,099","5,115","14,383","8,169","1,099","5,115","14,383","28,766","24,824",16,0,1,0,Continues high growth from previous year,,,
648,1429,DLK,Dalston (Kingsland),E8 2JS,London,Greater London,Hackney,UKI1,Inner London,London Overground,,,London Travelcard Area Station,"348,116","686,654","1,244,340","2,279,110","348,116","686,654","1,244,340","2,279,110","4,558,220","2,564,994",78,0,1,0,Ramp-up of demand due to London Overground improvememts,,,
649,1443,DLJ,Dalston Junction,E8 3DE ,London,Greater London,Hackney,UKI1,Inner London,London Overground,,,London Travelcard Area Station,"269,873","563,266","305,285","1,138,424","269,873","563,266","305,285","1,138,424","2,276,848","1,331,580",71,1,1,0,Ramp-up of demand due to London Overground improvememts,,,
650,1957,DLT,Dalton,LA15 8QA,North West,Cumbria,Barrow-In-Furness,UKD1,Cumbria,Northern Rail,,,,"9,889","7,471","2,514","19,874","9,889","7,471","2,514","19,874","39,748","44,280",-10,0,1,0,Demand drop due to line closure,http://www.thewestmorlandgazette.co.uk/news/cumbria/south_lakeland/grange_over_sands/8800205.__12m_rail_revamp_will_boost_speed_limit_on_Furness_line/,54.153601,-3.1758
651,8628,DLW,Dalwhinnie,PH19 1AD,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,,514,466,0,980,514,466,0,980,"1,960","1,894",3,0,0,0,,,56.933699,-4.246439
652,7915,DNY,Danby,YO21 2JL,Yorkshire And The Humber,North Yorkshire,Scarborough,UKE2,North Yorkshire,Northern Rail,,,,"3,663",839,"1,311","5,813","3,663",839,"1,311","5,813","11,626","10,878",7,0,0,0,,,54.46623,-0.9107069999999999
653,3797,DCT,Danescourt,CF5 2RX,Wales - Cymru,Cardiff - Caerdydd,Cardiff - Caerdydd,UKL2,East Wales,Arriva Trains Wales,,,,"21,352",838,"10,762","32,952","21,352",838,"10,762","32,952","65,904","61,712",7,0,0,0,,,,
654,4519,DZY,Danzey,B94 5BE,West Midlands,Warwickshire,Stratford-On-Avon,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,West Midlands,,"1,457","1,218",780,"3,455","1,457","1,218",780,"3,455","6,910","6,988",-1,0,0,0,,,,
655,7877,DAR,Darlington,DL1 4AA,North East,Darlington,Darlington,UKC1,Tees Valley and Durham,East Coast,,,,"291,989","691,042","144,923","1,127,954","291,989","691,042","144,923","1,127,954","2,255,908","2,209,274",2,"353,829",0,0,,,,
656,6729,DAN,Darnall,S9 4JU,Yorkshire And The Humber,South Yorkshire,Sheffield,UKE3,South Yorkshire,Northern Rail,,South Yorkshire,,"2,590","1,170","2,395","6,155","2,590","1,170","2,395","6,155","12,310","10,958",12,0,1,0,Continues high growth from previous year,,,
657,7211,DSM,Darsham,IP17 3PN,East,Suffolk,Suffolk Coastal,UKH1,East Anglia,National Express East Anglia,,,,"5,174","16,368",543,"22,085","5,174","16,368",543,"22,085","44,170","43,434",2,0,0,0,,,52.273561,1.522972
658,5101,DFD,Dartford,DA1 1BP,South East,Kent,Dartford,UKJ4,Kent,Southeastern,,,,"276,181","424,748","832,520","1,533,449","276,181","424,748","832,520","1,533,449","3,066,898","3,048,700",1,"382,256",0,0,,,,
659,8420,DRT,Darton,S75 5HX,Yorkshire And The Humber,South Yorkshire,Barnsley,UKE3,South Yorkshire,Northern Rail,,South Yorkshire,,"21,498","24,805","30,006","76,309","21,498","24,805","30,006","76,309","152,618","152,172",0,0,0,0,,,,
660,2576,DWN,Darwen,BB3 0DE,North West,Blackburn With Darwen,Blackburn With Darwen,UKD4,Lancashire,Northern Rail,,,,"60,940","52,548","29,799","143,287","60,940","52,548","29,799","143,287","286,574","262,098",9,0,0,0,,,,
661,5668,DAT,Datchet,SL3 9ED,South East,Windsor And Maidenhead,Windsor And Maidenhead,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",South West Trains,,,,"54,896","52,701","54,445","162,042","54,896","52,701","54,445","162,042","324,084","325,720",-1,0,0,0,,,,
662,2770,DVN,Davenport,SK3 8SA,North West,Greater Manchester,Stockport,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,,"23,066","42,684","42,341","108,091","23,066","42,684","42,341","108,091","216,182","210,880",3,0,0,0,,,,
663,3408,DWL,Dawlish,EX7 9PJ,South West,Devon,Teignbridge,UKK4,Devon,First Great Western,,,,"30,645","169,248","40,389","240,282","30,645","169,248","40,389","240,282","480,564","437,742",10,0,0,0,,,,
664,3409,DWW,Dawlish Warren,EX7 0NF,South West,Devon,Teignbridge,UKK4,Devon,First Great Western,,,,"3,685","62,644","4,195","70,524","3,685","62,644","4,195","70,524","141,048","130,322",8,0,0,0,,,,
665,5011,DEA,Deal,CT14 6HD,South East,Kent,Dover,UKJ4,Kent,Southeastern,,,,"38,931","99,446","128,502","266,879","38,931","99,446","128,502","266,879","533,758","493,262",8,0,0,0,,,51.222678,1.3993360000000001
666,5942,DEN,Dean,SP5 1JF,South West,Wiltshire,Salisbury,UKK1,"Gloucestershire, Wiltshire and North Somerset",First Great Western,,,,"2,947","5,436","5,016","13,399","2,947","5,436","5,016","13,399","26,798","26,710",0,0,0,0,,,,
667,2963,DGT,Deansgate,M31 1AA,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,MANCHESTER BR,Greater Manchester,,"28,758","107,210","41,278","177,246","28,758","107,210","41,278","177,246","354,492","322,943",10,0,0,0,Continues high growth from previous year,,,
668,5412,DPD,Deepdene,RH4 7TY,South East,Surrey,Mole Valley,UKJ2,"Surrey, East & West Sussex",First Great Western,DORKING BR,,,"49,515","76,547","41,360","167,422","49,515","76,547","41,360","167,422","334,844","382,194",-12,"161,121",1,0,Continues passenger decline from previous year,,,
669,2480,DGY,Deganwy,LL31 9EJ,Wales - Cymru,Conwy - Conwy,Conwy - Conwy,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,"4,220","1,690",995,"6,905","4,220","1,690",995,"6,905","13,810","13,560",2,0,0,0,,,53.294966,-3.833126
670,8441,DHN,Deighton,HD2 1LX,Yorkshire And The Humber,West Yorkshire,Kirklees,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,,"10,808","7,214","9,063","27,085","10,808","7,214","9,063","27,085","54,170","52,768",3,0,0,0,,,,
671,2306,DLM,Delamere,CW8 2JQ,North West,Cheshire,Vale Royal,UKD2,Cheshire,Northern Rail,,,,"4,578","14,004",478,"19,060","4,578","14,004",478,"19,060","38,120","34,938",9,0,0,0,,,,
672,8432,DBD,Denby Dale,HD8 8RX,Yorkshire And The Humber,West Yorkshire,Kirklees,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,,"27,615","26,051","16,636","70,302","27,615","26,051","16,636","70,302","140,604","137,398",2,0,0,0,,,,
673,3052,DNM,Denham,UB9 5ES,South East,Buckinghamshire,South Bucks,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",Chiltern Railways,,,,"46,785","35,725","62,697","145,207","46,785","35,725","62,697","145,207","290,414","291,748",-0,0,0,0,,,,
674,3060,DGC,Denham Golf Club,UB9 5DE,South East,Buckinghamshire,South Bucks,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",Chiltern Railways,,,,"2,997","1,385","5,076","9,458","2,997","1,385","5,076","9,458","18,916","19,460",-3,0,0,0,,,,
675,5421,DMK,Denmark Hill,SE5 8BB,London,Greater London,Southwark,UKI1,Inner London,Southeastern,,,London Travelcard Area Station,"388,844","403,168","1,066,390","1,858,402","388,844","403,168","1,066,390","1,858,402","3,716,804","3,611,562",3,"72,625",0,0,,,,
676,2103,DNT,Dent,LA10 5RF,North West,Cumbria,South Lakeland,UKD1,Cumbria,Northern Rail,,,,"4,369","1,058",0,"5,427","4,369","1,058",0,"5,427","10,854","10,558",3,0,0,0,,,54.277958999999996,-2.369211
677,2855,DTN,Denton,M34 3NS,North West,Greater Manchester,Tameside,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,,5,10,0,15,5,10,0,15,30,52,-42,0,0,1,,,,
678,5145,DEP,Deptford,SE8 3NU,London,Greater London,Lewisham,UKI1,Inner London,Southeastern,,,London Travelcard Area Station,"91,666","154,518","239,811","485,995","91,666","154,518","239,811","485,995","971,990","907,406",7,0,0,0,,,,
679,1823,DBY,Derby,DE1 2RU,East Midlands,Derby,Derby,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,West Midlands,,"494,201","921,209","260,078","1,675,488","494,201","921,209","260,078","1,675,488","3,350,976","3,260,122",3,"546,278",0,0,,,,
680,7212,DBR,Derby Road,IP3 8DN,East,Suffolk,Ipswich,UKH1,East Anglia,National Express East Anglia,,,,"8,608","10,122","2,880","21,610","8,608","10,122","2,880","21,610","43,220","37,544",15,0,1,0,Cause of large increase not clear,,,
681,3579,DPT,Devonport,PL1 4QN,South West,Plymouth,Plymouth,UKK4,Devon,First Great Western,PLYMOUTH BR,,,"2,256","4,916","6,706","13,878","2,256","4,916","6,706","13,878","27,756","27,006",3,0,0,0,,,,
682,8326,DEW,Dewsbury,WF13 1HF,Yorkshire And The Humber,West Yorkshire,Kirklees,UKE4,West Yorkshire,First TransPennine Express,,West Yorkshire,,"161,426","267,503","312,637","741,566","161,426","267,503","312,637","741,566","1,483,132","1,455,884",2,0,0,0,,,53.692232999999995,-1.6314549999999999
683,3030,DID,Didcot Parkway,OX11 7NR,South East,Oxfordshire,South Oxfordshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,,"243,309","567,741","582,689","1,393,739","243,309","567,741","582,689","1,393,739","2,787,478","2,674,310",4,"497,978",0,0,,,51.610878,-1.242505
684,5753,DIG,Digby and Sowton,EX2 7AW,South West,Devon,Exeter,UKK4,Devon,First Great Western,,,,"43,628","91,149","52,471","187,248","43,628","91,149","52,471","187,248","374,496","310,216",21,0,1,0,Continues high growth from previous year,,,
685,5502,DMH,Dilton Marsh,BA13 4DF,South West,Wiltshire,West Wiltshire,UKK1,"Gloucestershire, Wiltshire and North Somerset",First Great Western,,,,"2,531","2,135","3,667","8,333","2,531","2,135","3,667","8,333","16,666","12,480",34,0,1,0,Continues high growth from previous year,,51.238345,-2.226327
686,3901,DMG,Dinas (Mid Glamorgan),CF40 2PJ,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,"25,155","1,060","2,472","28,687","25,155","1,060","2,472","28,687","57,374","58,390",-2,0,0,0,,,51.617449,-3.435781
687,3830,DNS,Dinas Powys,CF64 4DH,Wales - Cymru,The Vale Of Glamorgan - Bro Morgannwg,The Vale Of Glamorgan - Bro Morgannwg,UKL2,East Wales,Arriva Trains Wales,,,,"29,785","2,378","8,934","41,097","29,785","2,378","8,934","41,097","82,194","79,072",4,0,0,0,,,51.43289,-3.217061
688,3861,DGL,Dingle Road,CF64 1JL,Wales - Cymru,The Vale Of Glamorgan - Bro Morgannwg,The Vale Of Glamorgan - Bro Morgannwg,UKL2,East Wales,Arriva Trains Wales,,,,"10,133",545,"2,215","12,893","10,133",545,"2,215","12,893","25,786","24,010",7,0,0,0,,,51.440171,-3.179451
689,8632,DIN,Dingwall,IV15 9PZ,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,,"30,921","15,195","4,749","50,865","30,921","15,195","4,749","50,865","101,730","84,920",20,668,1,0,Cause of large increase not clear,,57.59819,-4.438429
690,7897,DND,Dinsdale,DL2 1EP,North East,Darlington,Darlington,UKC1,Tees Valley and Durham,Northern Rail,,,,"9,438","1,563","3,188","14,189","9,438","1,563","3,188","14,189","28,378","21,454",32,0,1,0,Better peak service,,,
691,2893,DTG,Dinting,SK13 9EB,East Midlands,Derbyshire,High Peak,UKF1,Derbyshire and Nottinghamshire,Northern Rail,,,,"9,913","24,659","25,213","59,785","9,913","24,659","25,213","59,785","119,570","111,172",8,0,0,0,,,53.448393,-1.9663990000000002
692,2765,DSL,Disley,SK12 2AE,North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,,"11,561","30,739","25,404","67,704","11,561","30,739","25,404","67,704","135,408","123,608",10,0,0,0,,,53.358199,-2.042466
693,7348,DIS,Diss,IP22 4HN,East,Norfolk,South Norfolk,UKH1,East Anglia,National Express East Anglia,,,,"64,428","152,262","90,815","307,505","64,428","152,262","90,815","307,505","615,010","600,904",2,0,0,0,,,52.373566,1.123691
694,3588,DOC,Dockyard,PL2 1RX,South West,Plymouth,Plymouth,UKK4,Devon,First Great Western,PLYMOUTH BR,,,536,"1,843","1,479","3,858",536,"1,843","1,479","3,858","7,716","5,406",43,0,0,1,Cause of demand increase not clear,,,
695,6781,DOD,Dodworth,S75 3JX,Yorkshire And The Humber,South Yorkshire,Barnsley,UKE3,South Yorkshire,Northern Rail,,South Yorkshire,,"6,768","5,631","4,378","16,777","6,768","5,631","4,378","16,777","33,554","30,840",9,0,0,0,,,,
696,4188,DOL,Dolau,LD1 5TG,Wales - Cymru,Powys - Powys,Powys - Powys,UKL2,East Wales,Arriva Trains Wales,,,,408,310,111,829,408,310,111,829,"1,658","2,430",-32,0,0,1,Very small absolute number of entries and exits,,,
697,5036,DLH,Doleham,TN35 4LY,South East,East Sussex,Rother,UKJ2,"Surrey, East & West Sussex",Southern,,,,245,92,"18,996","19,333",245,92,"18,996","19,333","38,666","3,894",893,0,1,0,Large increase consistent with previous year and appears to be driven by timetable improvements. Similar story for Three Oaks and Winchelsea,http://en.wikipedia.org/wiki/Winchelsea_railway_station,50.918732,0.616315
698,2538,DLG,Dolgarrog,LL26 0YR,Wales - Cymru,Conwy - Conwy,Conwy - Conwy,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,203,103,0,306,203,103,0,306,612,472,30,0,0,1,Continues high growth from previous year,,53.187743000000005,-3.820675
699,2452,DWD,Dolwyddelan,LL25 0TJ,Wales - Cymru,Conwy - Conwy,Conwy - Conwy,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,"1,499","1,164",0,"2,663","1,499","1,164",0,"2,663","5,326","4,952",8,0,0,0,,,53.050955,-3.884788
700,6417,DON,Doncaster,DN1 1PE,Yorkshire And The Humber,South Yorkshire,Doncaster,UKE3,South Yorkshire,East Coast,,South Yorkshire,,"514,307","902,708","524,960","1,941,975","514,307","902,708","524,960","1,941,975","3,883,950","3,784,752",3,"1,274,328",0,0,,,,
701,5961,DCH,Dorchester South,DT1 1QX,South West,Dorset,West Dorset,UKK2,Dorset and Somerset,South West Trains,DORCHESTER BR,,,"78,379","161,715","26,085","266,179","78,379","161,715","26,085","266,179","532,358","520,414",2,303,0,0,,,,
702,5962,DCW,Dorchester West,DT1 2LB,South West,Dorset,West Dorset,UKK2,Dorset and Somerset,First Great Western,DORCHESTER BR,,,"10,791","18,916","2,681","32,388","10,791","18,916","2,681","32,388","64,776","75,276",-14,0,1,0,Cause of large decrease not clear,,,
703,6690,DOR,Dore,S17 3LB,Yorkshire And The Humber,South Yorkshire,Sheffield,UKE3,South Yorkshire,Northern Rail,,South Yorkshire,,"25,758","16,092","11,262","53,112","25,758","16,092","11,262","53,112","106,224","92,828",14,0,1,0,Cause of large increase not clear,,,
704,5357,DKG,Dorking,RH4 1TF,South East,Surrey,Mole Valley,UKJ2,"Surrey, East & West Sussex",Southern,DORKING BR,,,"135,675","212,401","301,685","649,761","135,675","212,401","301,685","649,761","1,299,522","1,186,717",10,"105,887",0,0,,,,
705,5297,DKT,Dorking West,RH4 5EE,South East,Surrey,Mole Valley,UKJ2,"Surrey, East & West Sussex",First Great Western,DORKING BR,,,2,6,0,8,2,6,0,8,16,22,-27,0,0,1,,,,
706,5413,DMS,Dormans,RH7 6NL,South East,Surrey,Tandridge,UKJ2,"Surrey, East & West Sussex",Southern,,,,"9,835","12,278","35,820","57,933","9,835","12,278","35,820","57,933","115,866","111,322",4,0,0,0,,,,
707,4525,DDG,Dorridge,B93 8JA,West Midlands,West Midlands,Solihull,UKG3,West Midlands,London Midland Trains,,West Midlands,,"58,399","131,099","98,057","287,555","58,399","131,099","98,057","287,555","575,110","609,948",-6,0,0,0,,,,
708,2766,DVH,Dove Holes,SK17 8DJ,East Midlands,Derbyshire,High Peak,UKF1,Derbyshire and Nottinghamshire,Northern Rail,,,,764,"2,353",5,"3,122",764,"2,353",5,"3,122","6,244","5,446",15,0,0,0,,,53.297571999999995,-1.889023
709,5033,DVP,Dover Priory,CT17 9SB,South East,Kent,Dover,UKJ4,Kent,Southeastern,,,,"114,946","227,306","115,200","457,452","114,946","227,306","115,200","457,452","914,904","934,414",-2,"194,999",0,0,,,51.125765,1.3057590000000001
710,6901,DVC,Dovercourt,CO12 3AG,East,Essex,Tendring,UKH3,Essex,National Express East Anglia,,,,"15,232","23,981","29,383","68,596","15,232","23,981","29,383","68,596","137,192","118,126",16,0,1,0,Faster London train,,51.938491,1.280259
711,4436,DVY,Dovey Junction,SY20 8PZ,Wales - Cymru,Powys - Powys,Powys - Powys,UKL2,East Wales,Arriva Trains Wales,,,,421,227,0,648,421,227,0,648,"1,296","1,482",-13,"1,216",0,0,,,52.569671,-3.903889
712,7055,DOW,Downham Market,PE38 9EN,East,Norfolk,Kings Lynn And West Norfolk,UKH1,East Anglia,First Capital Connect,,,,"54,500","98,900","62,597","215,997","54,500","98,900","62,597","215,997","431,994","406,690",6,0,0,0,,,52.604126,0.365744
713,3099,DRG,Drayton Green,W13 4SW,London,Greater London,Ealing,UKI2,Outer London,First Great Western,,,London Travelcard Area Station,"15,347","14,026","24,064","53,437","15,347","14,026","24,064","53,437","106,874","104,732",2,0,0,0,,,,
714,6000,DYP,Drayton Park,N5 1NT,London,Greater London,Islington,UKI1,Inner London,First Capital Connect,,,London Travelcard Area Station,"69,125","38,114","145,376","252,615","69,125","38,114","145,376","252,615","505,230","478,144",6,0,0,0,,,,
715,9317,DRM,Drem,EH39 5LW,Scotland,East Lothian,East Lothian,UKM2,Eastern Scotland,First ScotRail,,,,"20,127","15,042","17,656","52,825","20,127","15,042","17,656","52,825","105,650","100,208",5,0,0,0,,,56.010723999999996,-2.7766830000000002
716,8057,DRF,Driffield,YO25 7PX,Yorkshire And The Humber,East Riding Of Yorkshire,East Riding Of Yorkshire,UKE1,East Riding and North Linconshire,Northern Rail,,,,"30,120","56,898","39,813","126,831","30,120","56,898","39,813","126,831","253,662","246,412",3,0,0,0,,,54.000628000000006,-0.434699
717,1994,DRI,Drigg,CA19 1XW,North West,Cumbria,Copeland,UKD1,Cumbria,Northern Rail,,,,"3,971",273,"1,795","6,039","3,971",273,"1,795","6,039","12,078","11,570",4,0,0,0,,,54.378826000000004,-3.4427550000000005
718,4878,DTW,Droitwich Spa,WR9 9BD,West Midlands,Worcestershire,Wychavon,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,West Midlands,,"143,779","44,256","56,661","244,696","143,779","44,256","56,661","244,696","489,392","465,768",5,"51,926",0,0,,,,
719,6616,DRO,Dronfield,S18 8UH,East Midlands,Derbyshire,North East Derbyshire,UKF1,Derbyshire and Nottinghamshire,Northern Rail,,,,"37,091","24,661","14,644","76,396","37,091","24,661","14,644","76,396","152,792","144,228",6,0,0,0,,,,
720,9994,DMC,Drumchapel,G13 4PT,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"69,518","58,490","65,505","193,513","69,518","58,490","65,505","193,513","387,026","370,858",4,0,0,0,,,,
721,9967,DFR,Drumfrochar,PA15 4BY,Scotland,Inverclyde,Inverclyde,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"9,633","10,521","7,431","27,585","9,633","10,521","7,431","27,585","55,170","61,394",-10,0,1,0,,,55.938880000000005,-4.770865000000001
722,9757,DRU,Drumgelloch,ML6 8JA,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"42,726","40,584","51,276","134,586","42,726","40,584","51,276","134,586","269,172","58,550",360,0,1,0,Station re-opened in March 2011,http://en.wikipedia.org/wiki/Drumgelloch_railway_station,,
723,9993,DMY,Drumry,G31 2LY,Scotland,West Dunbartonshire,West Dunbartonshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,"43,407","42,135","36,444","121,986","43,407","42,135","36,444","121,986","243,972","229,366",6,0,0,0,,,,
724,1040,DUD,Duddeston,B7 4ST,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,,"21,099","17,039","51,828","89,966","21,099","17,039","51,828","89,966","179,932","140,980",28,0,1,0,"Main portion of increase due to improved demand estimation in Centro area (extra 34,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,
725,1212,DDP,Dudley Port,DY4 8UB,West Midlands,West Midlands,Sandwell,UKG3,West Midlands,London Midland Trains,,West Midlands,,"31,725","65,237","94,469","191,431","31,725","65,237","94,469","191,431","382,862","279,944",37,0,1,0,"Main portion of increase due to improved demand estimation in Centro area (extra 97,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,
