OrganisationName,Latitude,Longitude
Mintons Chemist,51.5911064148,-0.1044918969
The Co-Operative Pharmacy,53.8072013855,-1.4503813982
Dees Pharmacy,51.7719230652,0.0399035066
Murray's Pharmacy,54.1114730835,-3.219871521
Lincoln Co-Op Chemists Ltd,53.271194458,-0.6647699475
Jupiter Pharmacy,51.764995575,-0.4537023902
The Cadge Pharmacy,51.5891036987,-0.0786912516
Rhodes Ta Ltd,52.6339759827,-2.275244236
Westbury Chemist,51.4351577759,-0.128535971
Willington Pharmacy,52.8505134583,-1.5660429001
Cox and Robinson Pharmacy,51.9962348938,-0.7230257988
Whinmoor Pharmacy,53.8367118835,-1.4568638802
Manor Pharmacy,53.1384963989,-1.5530054569
The Co-Operative Pharmacy,52.6180419922,-1.1170786619
Mayors Chemist,51.5271606445,-0.0265314113
The Co-Operative Pharmacy,51.6023178101,0.0839035437
Boots,51.3185462952,-0.5596120358
Lloydspharmacy,52.5142288208,-1.4447487593
Tesco Stores Limited,53.7868232727,-2.3998827934
Wainfleet Pharmacy,53.1059989929,0.2359828353
Sainsbury's Pharmacy,51.8477172852,-2.2533605099
The Co-Operative Pharmacy,54.5215187073,-1.5501856804
Lloydspharmacy,53.550453186,-2.6326813698
Theatre Royal Pharmacy,52.6837844849,0.9423395991
Tout's Pharmacy,51.2744827271,-2.776181221
Cohens Chemist,53.8112640381,-3.0320599079
Day Lewis Chemists Ltd,51.8119621277,-2.6189596653
Home Ground Pharmacy,51.5919189453,-1.8077905178
Abc Drug Stores Limited,51.5536422729,-0.0751083493
Broughton Pharmacy,53.5683097839,-0.5523070693
Deejay Chemist,51.440700531,-0.1064952537
Riddings Pharmacy Ltd,53.4044265747,-2.3312768936
Benjamins Pharmacy,51.9125480652,-2.5833866596
Day Lewis Pharmacy,51.4095611572,-0.0871044323
Peak Pharmacy,53.2999343872,-1.4938094616
Rowlands Pharmacy,53.3760604858,-3.0263905525
The Co-Operative Pharmacy,54.118144989,-2.5107853413
Ian Littler Pharmacy,53.1975097656,-2.7647068501
Boots,51.7573776245,0.1130459756
The Co-Operative Pharmacy,52.5369148254,-2.012768507
Saltash Pharmacy,50.4091148376,-4.2144451141
Lyng Pharmacy,52.5160903931,-1.9959696531
Beacon View Pharmacy Limited,54.9328651428,-1.5853122473
Boots,51.8052444458,1.154673934
Boots,55.3100700378,-1.9116550684
St.clare Chemist,51.3745307922,-0.0962808728
Britannia Pharmacy,51.551612854,0.0743730888
Poonian Pharmacy,52.6260986328,-2.1278035641
Medicare Chemists,53.6318092346,-1.7980222702
Wade Nl Ltd,51.5901031494,0.0498511493
Bastwell Pharmacy,53.7572975159,-2.4722530842
Consult Pharmacy,51.6700363159,-1.2949208021
Asda Stores Ltd,53.188369751,-0.5902949572
Sainsbury's Pharmacy,53.3420295715,-1.3513613939
Lloydspharmacy,53.6524581909,-2.6352519989
Boots,52.3686943054,-2.7173063755
Bliss Chemist,51.5411758423,-0.2007787079
Howells and Chana,51.5302276611,0.78049016
Boots,52.4426651001,-1.9914088249
Raj's Chemist,53.7962532043,-1.814039588
The Co-Operative Pharmacy,52.6469612122,1.728738308
Superdrug Pharmacy,53.0273094177,-2.1757905483
Lloydspharmacy,52.9130096436,-0.6425433755
Boots,53.3765106201,-1.4736617804
H S Dobie Chemists Ltd,54.7139015198,-3.4957067966
Alpha Chemist,51.5375137329,-0.389413923
Boots,53.2156105042,-0.6055903435
Boots,50.8132553101,-0.4022023678
B.A.Williams Chemist,51.4857902527,-0.3006708324
Rowlands Pharmacy,53.5531539917,-2.2052254677
Boots,51.0538139343,-2.7307238579
M W Phillips Chemists,52.5527992249,-1.8853907585
Palmers Chemist,51.6181602478,-0.1088395044
The Co-Operative Pharmacy,53.5669212341,-2.1222631931
Jhoots Pharmacy,52.5933761597,-2.1435773373
Superdrug Pharmacy,52.5846176147,-2.1282877922
Rowlands Pharmacy,52.655128479,-2.4338059425
Fourway Pharmacy,51.4526367188,-0.0993950665
Beck & Sherman Pharmacy,51.5188598633,-0.0622044615
Boots,51.3416061401,0.572755456
Chana Chemist,51.4800071716,-0.1990104765
Daynight Pharmacy,52.6276512146,-1.1028498411
Evergreen Pharmacy,52.46641922,-2.0473976135
Your Local Boots Pharmacy,54.0688018799,-2.2774112225
Gould's Pharmacy,51.3912467957,-0.4120185077
Day Lewis Pharmacy,51.119342804,-0.1993824393
Canford Cliffs Pharmacy,50.7055549622,-1.9215084314
The Co-Operative Pharmacy,53.8006668091,-2.2316672802
Calverton Pharmacy,51.9105262756,-0.4467899501
Chemicrest Ltd,51.6017112732,0.6553840041
Shah Pharmacy,52.4453430176,-1.9336762428
Tesco Stores Limited,53.4003143311,-2.2965927124
Sykes Chemist,53.5604782104,-2.4562132359
Chauhan S Chemist,51.5224838257,-0.0973531231
Mr Kg Khullar,53.4532394409,-2.2570865154
Lloydspharmacy,53.8044204712,-3.0436296463
Swinford Pharmacy,52.4491195679,-2.1410470009
Boots,53.8034934998,-1.7653739452
Dunstones Chemist Ltd,52.5018920898,-1.9911177158
Superdrug,51.506652832,-0.4192492366
Asda Pharmacy,51.8967781067,-0.1995289624
Boots,51.5251617432,-2.5953428745
Ore Village Pharmacy,50.8726768494,0.6088157892
Tesco Stores Limited,53.8014793396,-2.3105633259
Everest Pharmacy Chorlton,53.4427642822,-2.2789280415
The Co-Operative Pharmacy,52.5661468506,-2.0362932682
Boots,51.8781929016,0.8460039496
Asda Stores Ltd,53.5122299194,-2.2107877731
Glyn Norris Pharmacy,50.8193817139,-0.5446563363
Hingley Mej & Co Ltd,52.4751548767,-2.0444772243
Lloydspharmacy,53.2622947693,-2.5774919987
Cowplain Pharmacy,50.8938865662,-1.0181610584
Perfucare,51.4311561584,-0.0601919815
The Co-Operative Pharmacy,51.0179367065,-4.2063913345
Lincoln Co-Op Chemists Ltd,53.5648574829,-0.1377630234
Morrison Pharmacy,51.7514686584,-0.3111740649
Lloydspharmacy,53.5406799316,-0.1688723713
Rowlands Pharmacy,53.3922386169,-1.502188921
The Co-Operative Pharmacy,53.9885292053,-1.5491739511
Superdrug,51.5833702087,-0.0237936378
Tesco Pharmacy,52.0006027222,-0.7255526781
The Co-Operative Pharmacy,50.3594551086,-4.0951256752
Cohens Chemist,53.4264221191,-2.1759603024
Tesco Pharmacy,51.5107345581,-0.5905225873
Halls The Chemist,52.6211433411,-0.1067032814
Lincoln Co-Op Chemists Ltd,53.0459709167,-0.3842929006
Tesco Stores Limited,50.7044525146,-3.0685067177
Sainsbury Pharmacy,51.7363243103,-0.4655430019
Boots,51.5346832275,0.7153490782
Marsden Pharmacy,53.9778938293,-1.5338737965
Yardley Pharmacy,52.4625816345,-1.8175820112
The Co-Operative Pharmacy,54.1288909912,-2.768433094
Day Lewis Pharmacy,51.6085929871,0.2927464843
Boots,51.2083282471,-1.4799574614
Boots,53.3994293213,-0.7764067054
Cohens Chemist,53.7672843933,-2.4759302139
The Co-Operative Pharmacy,52.5775947571,-1.9832965136
Boots,51.7916793823,-0.1942197382
Hadlow Pharmacy,51.2239074707,0.3388130665
Boots,51.4644317627,-0.214840889
Unp Pharmacy,51.5857429504,-0.2775440216
Tesco Instore Pharmacy,51.2160797119,-1.4736421108
The Co-Operative Pharmacy,51.5637245178,0.4447783828
Boots,54.7807922363,-1.5369602442
Boots,50.813785553,-0.3676616848
Seaforth Pharmacy,50.8640174866,0.2620312274
Alphington Pharmacy,50.6994781494,-3.5349588394
Abc Pharmacy,51.5321578979,-0.0344327316
The Bath Pharmacy Company Limited,51.3917655945,-2.4772081375
Rowlands Pharmacy,53.0988426208,-2.4495794773
Boots,52.3996009827,0.2657280564
Lloydspharmacy,53.4324569702,-1.3803145885
Lloydspharmacy,53.7298622131,-2.6638538837
Blackthorn Pharmacy,50.8760032654,-1.3272622824
Lloydspharmacy,51.7825546265,-1.4733996391
Lloydspharmacy,51.1074142456,-4.1628932953
Norchem Healthcare Pharmacy,54.5689926147,-1.3138861656
Lloydspharmacy,50.8684425354,0.5564013124
Boots,51.5252227783,0.5668328404
The Co-Operative Pharmacy,53.4618225098,-1.9944940805
Asda Pharmacy,53.5606307983,-1.475184679
Day Lewis Harmers Pharmacy,50.7659072876,0.2797167301
The Co-Operative Pharmacy,53.1063613892,-2.0207371712
Chemistree,52.2622833252,0.3961098194
Rowlands Pharmacy,53.6013259888,-2.8404242992
Beacon Pharmacy,53.1880569458,0.3422335088
The Co-Operative Pharmacy,51.5871086121,-0.0033205461
Boots,50.1955451965,-5.3975534439
Mannings,53.3046569824,-2.3755223751
The Co-Operative Pharmacy,53.0497970581,-2.1820878983
Boots,51.3230476379,-2.9565463066
Park Lane Pharmacy,51.3656997681,-0.1604737192
Sainsbury's In-Store Pharmacy,51.526309967,-0.2154203951
Melbourne Pharmacy,51.7489089966,0.4529710412
London Road Pharmacy,53.2439346313,-2.125849247
Boots,51.3583946228,-0.148916617
Hill Top Pharmacy,52.476020813,-1.9961432219
Boots,51.1483421326,-0.976673305
Boots,51.6512718201,-0.0834648535
Swalecliffe Pharmacy,51.3607597351,1.0668936968
Boots,51.3925743103,-0.3064121604
Sharrow Pharmacy,53.3667984009,-1.4807696342
Day Lewis Pharmacy,51.4055671692,0.0355201513
Royal Dock Pharmacy,51.5041122437,0.0240007713
Selcroft Pharmacy,52.4558334351,-1.9783825874
Harlow Pharmacy,51.7719993591,0.0903487727
The Co-Operative Pharmacy,53.7563438416,-1.6636092663
Boots,53.4819450378,-2.2371735573
Southcotts Pharmacy (Alkend Ltd),51.4305381775,0.0857736841
Sainsbury's Pharmacy,52.4126548767,-1.974375248
Boots,53.7937431335,-1.7530260086
Dean and Smedley Ltd,52.7475357056,-1.47085464
Boots,54.5493125916,-1.1899774075
Village Pharmacy,51.4972114563,-0.6362617016
Pe Logan Ltd,51.4862861633,0.0067806244
Lloydspharmacy,51.4405975342,-2.555280447
The Co-Operative Pharmacy,52.3433265686,-0.0756685361
Lloydspharmacy,51.4673271179,-2.1397497654
Tesco Pharmacy,54.9623451233,-1.6026256084
Welle Ltd,52.5999946594,0.2242684215
Rowlands Pharmacy,50.8724136353,-1.5752273798
Lloydspharmacy,55.006477356,-1.5158851147
Morrisons Pharmacy,51.8804893494,-2.1079216003
Harland Chemist,51.3972396851,-0.1901015937
Goldchem Pharmacy,50.7868270874,-1.075319767
Minster Pharmacy,50.9264793396,-2.911179781
Lloydspharmacy,51.0876464844,-0.733568728
Lloydspharmacy,51.3373794556,-0.8027860522
Boots,53.6473350525,-3.004254818
Boots,52.613571167,-2.0963387489
Boots,51.7865142822,-1.5096839666
Nash Chemist,51.5123291016,-0.0290460344
Kidderminster Pharmacy,52.3852348328,-2.2407231331
Riddlesdown Pharmacy,51.3332672119,-0.0988949239
Boots,50.9691390991,-1.3525214195
Manor Pharmacy,52.929271698,-1.2757854462
Castle Chemist,51.5628662109,-0.1979316473
Tesco Stores Limited,52.6458892822,-1.9330345392
Jethro's Ltd,51.5738563538,-0.2004553527
Co-Op Pharmacy,52.7094192505,-2.0009493828
Kew Pharmacy,51.4774398804,-0.2862206399
Knights Pharmacy,52.2931938171,-1.9458230734
The Co-Operative Pharmacy,51.594078064,-1.8248735666
Acorn Pharmacy,52.3453903198,-0.1756908894
Cox and Robinson (Chemists) Ltd,51.9161109924,-0.6597688198
Boots,53.5174179077,-2.2351095676
Metro Pharmacy,51.667842865,-0.2825877368
Stoney Stanton Pharmacy,52.4265441895,-1.4922641516
Abc Pharmacy,51.7231445313,-0.0300113298
Sheldons Pharmacy,51.5767631531,0.0653143376
Attwood Green Pharmacy,52.4726638794,-1.9072542191
Odessey Pharmacy,52.4004821777,-0.7286150455
Day Lewis Chemists Ltd,51.9307098389,-2.4056789875
Paydens Pharmacy,51.360118866,1.432096839
Sainsbury's In-Store Pharmacy,51.8007392883,-0.2070123404
The Co-Operative Pharmacy,53.3683242798,-1.4203957319
Murray's Chemist,51.5310592651,-0.0887342989
JM McGill Ltd,53.5121002197,-1.3794856071
Trident Pharmacy,51.4109230042,-0.2281563878
Wellington Pharmacy,51.2499465942,-0.7668433785
Paydens Ltd,51.3888549805,1.382563591
Boots,53.4633293152,-2.3599169254
Sainsbury's Pharmacy,51.4856491089,0.2876245677
Lloydspharmacy,51.9950828552,-0.7289429307
Medipharma Uk Ltd,52.5448265076,-1.9831023216
Sainsburys Pharmacy,51.4197273254,-0.1292669326
Spinks The Chemist,53.8408050537,-0.4350577295
Mw Shadforth,51.6263999939,0.4180931151
Mahmood Ltd,53.7558708191,-1.7676107883
Lloydspharmacy,52.4749107361,-1.9689952135
Rowlands Pharmacy,50.8743057251,-1.0197379589
Boots,53.6456413269,-1.7818157673
Cedrics Chemist Ltd,53.3703651428,-2.2346739769
Flagg Court Pharmacy Limited,54.9985237122,-1.4270354509
Thomas Brown Pharmacy Ltd,53.3720283508,-2.5813655853
Twilight Pharmacy,52.4363136292,-1.8903113604
Ram Pharmacy,51.5861358643,-0.0898304209
Boots,50.3937492371,-3.5157196522
Rodbourne Pharmacy,51.5656166077,-1.8006300926
Lloydspharmacy,54.5325965881,-1.5662899017
Superdrug Pharmacy,51.0633087158,-0.3297018111
Tesco Instore Pharmacy,53.4131965637,-2.9159061909
Lloydspharmacy,51.7457313538,-2.2193593979
Palace Pharmacy,51.4760360718,-0.2150791138
Triangle Healthcare (Uk) Ltd,51.6483230591,-0.3554826379
Mayors Chemist,51.5446510315,0.0047427099
Pr Naylor Chemist Ltd,54.0082550049,-1.4670082331
Boots,50.3944129944,-3.5145168304
Boots,51.5414352417,0.7363758683
Boots,53.5660476685,-0.0867599249
Boots,54.0829620361,-0.1891548634
Fontain Pharmacy,51.4810791016,-0.2125779539
Lloydspharmacy,53.75598526,-0.2659740746
Lloydspharmacy,52.441570282,-2.1109528542
Lloydspharmacy,51.9023323059,-2.1140494347
The Co-Operative Pharmacy,50.7923965454,-1.1477810144
Eason Chemist,52.6092071533,-1.6712691784
Payne G (Chemists) Ltd,53.4764099121,-0.5880593657
Droitwich Pharmacy,52.2669334412,-2.1536111832
Boots,50.7147636414,-2.4370672703
Boots,53.5418052673,-2.1748697758
The Co-Operative Pharmacy,52.9914093018,-2.1957859993
Boots,52.4573402405,1.5632873774
The Co-Operative Pharmacy,52.6340408325,-1.6964627504
Rowlands Pharmacy,53.4295883179,-3.0628237724
Morrisons Pharmacy,51.9653968811,1.3275517225
Safedale Ltd,51.667842865,-0.2825877368
Asda Pharmacy,52.5269508362,-1.4665657282
Boots,53.4558105469,-2.1995596886
Sainsbury's Supermarkets Ltd,53.4547615051,-2.1326169968
Rowlands Pharmacy,53.6646308899,-1.6245524883
Boots,53.9223632813,-3.0114095211
Shaunaks Pharmacy,51.4478530884,-2.5119686127
All Saints Pharmacy,52.7943687439,-1.6435770988
Boots,51.5058937073,-0.08351928
Tesco In Store Pharmacy,52.4813575745,-1.4735811949
Lloydspharmacy,52.602481842,-1.9211703539
Burrows & Close Limited,52.996547699,-1.2564386129
Bridgnorth Road Pharmacy Ltd,52.5856170654,-2.1771297455
Sangha Pharmacy Ltd,50.9144477844,-1.336409688
Boots,54.9772605896,-1.5812305212
Station Pharmacy,53.5063095093,-2.9332923889
Boots,51.5112419128,-0.0895781517
Gaiger Chemist,51.3688163757,-0.1949578077
Newhall Pharmacy,52.7851295471,-1.5739508867
Pearl Chemist,51.4246025085,-0.1641074717
Day Lewis Plc,51.2083702087,-1.4755049944
The Co-Operative Pharmacy,53.0978736877,-2.4269886017
Browgate Pharmacy,53.8526954651,-1.7663608789
Hutchins Chemist,51.6451416016,0.0532290451
Weldricks Pharmacy,53.4821662903,-1.2307982445
Boots,52.4009819031,-1.8162925243
Anstey Road Pharmacy,51.1538314819,-0.9669432044
East Riding Pharmacy,53.7401885986,-0.1986786872
Lloydspharmacy,52.6697158813,1.307136178
Sainsbury Pharmacy,53.794719696,-1.4351663589
Gleadless Valley Pharmacy Limited,53.3450317383,-1.445705533
Tesco Pharmacy,51.4417572021,0.7593955398
Instore Pharmacy,53.3849182129,-2.3458590508
Boots,52.6818695068,0.9409086108
Brompton Ph,53.980052948,-1.1524614096
The Co-Operative Pharmacy,52.9841384888,-2.1586942673
Lloydspharmacy,51.5195922852,-0.6446593404
St Stephens Chemist,52.6273155212,-1.1140701771
Yates Pharmacy,53.5207824707,-2.1341207027
Village Pharmacy,52.4609603882,-1.5364637375
Superdrug Stores Plc,54.8569984436,-1.5736755133
Lloydspharmacy,51.5074653625,-0.2738545835
Harris Chemist,51.8839530945,-0.4270881116
The Co-Operative Pharmacy,52.6263198853,-1.9325472116
Cassiobury Pharmacy,51.6672897339,-0.4172795713
Rowlands Pharmacy,50.8270339966,-1.1751639843
Pimhole Pharmacy,53.5930023193,-2.283377409
Boots,50.751285553,-3.2794725895
West Hill Pharmacy,51.4814147949,-2.7813317776
Northamptonshire Healthcare Alliance,52.277015686,-0.8780079484
Herbert and Shrive,51.4212150574,-0.3194057345
P. Rowbotham Dispensing Chemist,53.6836662292,-0.0124847256
Boots,52.9094657898,0.4886319339
Lloydspharmacy,51.5225372314,-1.1370654106
Lloydspharmacy,53.4174537659,-1.4456673861
Manor Pharmacy,52.8340568542,-1.1770840883
Lloydspharmacy,53.2759132385,-2.9370076656
Keighley Hth Ctr Ltd (Phm Dpt),53.863697052,-1.9143259525
Boots,50.8641815186,-3.3927180767
Lloydspharmacy,51.4172935486,-0.7529697418
Lloydspharmacy,51.3165054321,-0.3043790162
Asda Pharmacy,53.7953720093,-0.3485839367
Boots,52.0601196289,1.1472547054
Asda Pharmacy,54.7608108521,-1.3313741684
"Croasdales Chemist,mountpharm",52.2452125549,0.742657125
Medicines2home.com,53.5930747986,-1.8514331579
Lloydspharmacy,51.7592163086,-1.5947233438
Lloydspharmacy,53.3499679565,-1.40287292
Boots,54.9750366211,-1.6150454283
Rowlands Pharmacy,53.679977417,-2.8311498165
West Street Pharmacy,51.8857688904,-0.5220678449
Boots,52.1869621277,0.9973766208
Rowlands Pharmacy,53.1928672791,-2.4468512535
Lloydspharmacy,51.2930526733,-0.7529963851
The Co-Operative Pharmacy,50.8512954712,-0.2265589833
Boots,52.9883842468,-2.1353373528
The Co-Operative Pharmacy,53.5886192322,-1.6253167391
Boots,51.3763122559,0.0993152335
Lloydspharmacy,50.9239006042,-1.4342471361
Tree Tops Pharmacy,53.3223381042,-2.9722061157
Tesco Instore Pharmacy,50.9505653381,-0.1490636766
Boots,51.4379425049,0.2699871957
Grahams Pharmacy,53.0508155823,-2.1751403809
Superdrug Stores Plc,52.2389755249,-0.8941101432
Boots,51.2500267029,-0.5900102854
Phillips Pharmacy,51.4497795105,-0.13594006
Lloydspharmacy,51.3138504028,-0.7446700931
G R Pharmacy,52.4303398132,-1.9839544296
Bedwell Pharmacy,51.9022445679,-0.1889751554
Boots,51.1287193298,-3.0025858879
My Local Chemist,52.4774475098,-1.8143992424
Lloydspharmacy,53.3712882996,-2.5823023319
Boots,51.5254745483,-0.4338779747
The Pharmacy Clinic,52.5942382813,-2.1428716183
Hbs Pharmacy,53.7502861023,-2.7287480831
Boots,52.0823669434,0.4393695891
Shire Pharmacy,52.4581184387,-1.8958497047
Superdrug Pharmacy,52.5647964478,-2.0768616199
The Co-Operative Pharmacy,53.7724266052,-1.569167614
Ingleby Healthcare Ltd,54.5180091858,-1.3185991049
Thompson Crabtree Ltd,53.4917488098,-2.3569321632
Boots,51.540763855,-2.4135479927
Ladybridge Pharmacy,53.5703964233,-2.4764940739
Medica Ltd,51.4920806885,-0.0637581199
Boots,52.6363143921,1.2951827049
Luxtons The Pharmacy,50.7147331238,-3.5449903011
Davina Pharmacy Ltd,53.5142097473,-2.46925807
Lloydspharmacy,53.7636833191,-2.6741111279
Boots,53.0265464783,-2.1739089489
Boots,52.6909141541,-2.0337638855
Day Lewis Pharmacy,51.3982543945,-0.2551403642
Vitaltone Pharmacy,51.2821960449,-0.076813437
Lloydspharmacy,50.9650878906,-1.3107397556
Cohens Chemist,53.5396575928,-2.7035315037
Ridge House Pharmacy,51.8899002075,0.011816835
Lloydspharmacy,51.9954452515,-2.1555480957
Murrays Pharmacy,52.5506820679,-2.100507021
The Co-Operative Pharmacy,52.6375312805,-1.0484589338
Medichem Limited,54.8987121582,-1.3705238104
Grange Pharmacy,52.4583511353,-2.0178079605
Boots,51.2787322998,-0.3733170629
The Co-Operative Pharmacy,52.4703674316,-0.7213024497
Rowlands Pharmacy,53.244934082,-2.5456984043
Rowlands Pharmacy,53.3224525452,-1.4801517725
Supercare Pharmacy,52.5729026794,-2.1261720657
Dp Mark Chemists,51.5841217041,-0.0212927982
Superdrug Pharmacy,51.2488555908,-0.7642790675
Superdrug Stores Plc,52.4766578674,1.7516646385
Rowlands Pharmacy,53.454082489,-2.6454632282
"Meacher, Higgins and Thomas",51.5195083618,-0.1604665369
The Co-Operative Pharmacy,52.964931488,-1.2270994186
Burrows and Close,52.9879760742,-1.0379617214
Morrisons Pharmacy,51.4781723022,-2.132021904
Costessey Pharmacy,52.6475982666,1.234962821
The Co-Operative Pharmacy,52.5299720764,-2.0329909325
Demnox Ltd,54.8662948608,-1.4168049097
Henley Pharmacy,52.2924537659,-1.7798959017
Britannia Pharmacy,51.5721435547,0.0952225253
Day Lewis Plc,50.6366004944,-4.3602995872
Boots,51.2046966553,-2.1793887615
Nelsons Homeopathic Pharmacy,51.5126953125,-0.1504077017
Sainsbury's Pharmacy,52.3981399536,0.2698131204
The Co-Operative Pharmacy,53.3796424866,-2.1201164722
Elgon Chemist,51.7486457825,-0.0185293071
W & B (Longsight)Ltd,53.4575881958,-2.2018573284
Sharoe Green Pharmacy,53.7923545837,-2.7055382729
Harris Chemist,51.4296340942,0.0209663678
Woodlands Pharmacy,51.7525177002,-1.2773836851
Sainsbury's Pharmacy,51.3812065125,-2.3685266972
Tesco In-store Pharmacy,53.3285446167,-3.1029987335
Battersea Pharmacy,51.4588851929,-0.1664605141
Herbert & Herbert,52.1607513428,-0.494336158
Day Lewis Pharmacy,50.9512634277,0.7332930565
Morrisons Pharmacy,50.7952880859,-1.1265304089
Sainsbury's Pharmacy,50.7521057129,-1.8447562456
Silverfields Chemists,51.5488967896,-0.0405624956
Tesco Stores Limited,50.2608604431,-5.0470108986
Hingley Mej and Co Ltd,52.5768318176,-2.1396570206
Lloydspharmacy,54.9564208984,-1.6018564701
Lloydspharmacy,52.334236145,-0.1882441938
Weldricks Pharmacy,53.582988739,-1.1814490557
Alpha Pharmacy,51.6023750305,-0.1129611954
Day Lewis Pharmacy,51.2991485596,-0.3305685818
Clarity Pharmacy,50.8537940979,0.560274899
Boots,52.7595291138,-1.9353060722
Heatherlands Pharmacy,53.3814811707,-3.0895884037
Boots,51.4062004089,-0.7322372794
Tims and Parker,53.5103569031,-2.3533189297
Rowlands Pharmacy,51.560798645,-1.7623084784
Outwood Pharmacy,53.7075843811,-1.504111886
Woodlands Chemist,51.8954696655,-0.4355660677
Morrisons Pharmacy,51.3528938293,-2.9135410786
Britcrown Pharmacy,51.5604743958,0.2287038863
Lloydspharmacy,51.5082397461,-0.2806125581
Wilson Bj Ltd,52.941570282,-1.4329719543
Boots,52.6487083435,0.6871673465
Rowlands Pharmacy,53.2068023682,-1.1527144909
Wm Morrison Supermarkets Plc,54.5206184387,-1.5013774633
Prime Pharmacy,51.4858436584,-0.2325850427
J Andersen's Pharmacy,50.8647117615,0.6050168872
Wheatfield Pharmacy,51.9044647217,-0.4951581359
Boots,54.3404769897,-1.4352663755
Boots,51.4643173218,-0.2677953839
Sainsbury's In-Store Pharmacy,51.5808181763,-0.3137697279
York Pharmacy,51.5486907959,-0.128308475
The Chief Cornerstone Ltd,51.6362304688,-0.4831859171
Lotus Pharmacy,51.3988189697,-0.0422963984
Florida Pharmacy Ltd,51.5265541077,-0.0651359856
St Peter's Pharmacy,51.5343132019,-0.0980134904
Lloydspharmacy,51.2189903259,-2.9741330147
Your Pharmacy Uk,53.4536514282,-2.7530984879
Lloydspharmacy,52.6497383118,-1.9348615408
Helgasons Pharmacy,53.3837127686,-2.3525695801
Superdrug Stores Plc,53.7971115112,-1.5409351587
Boots,51.4449691772,-0.205080688
Downland Pharmacy,51.4634361267,-1.3123878241
Allcures Pharmacy,51.5577735901,0.4813934565
Lloydspharmacy,53.4147644043,-1.4188767672
Boots,51.0181274414,-3.1017923355
Sainsburys Pharmacy,51.5408287048,0.7091092467
The Co-Operative Pharmacy,52.5870056152,-0.2462724745
The Co-Operative Pharmacy,53.1547584534,-1.1578667164
Lloydspharmacy,51.3993644714,-0.7707939148
Rowlands Pharmacy,51.2693748474,-0.8403903842
Housley Pharmacy,52.9197998047,-1.4041794538
Broomfield Pharmacy,52.4078407288,-1.52727139
Whitehaven Late Night Pharmacy,54.5478515625,-3.5880777836
Longthornes Pharmacy,51.544178009,0.6933556199
Morrisons Pharmacy,53.8027992249,-1.7107321024
Duggals Chemist,52.5239562988,-2.056450367
Dhaliwal,52.3905448914,-1.418910861
The Co-Operative Pharmacy,54.712097168,-1.7380307913
Cr Clowes and Son Ltd,53.2596282959,-1.914424777
Golborne Chemist,53.4776000977,-2.5964441299
Cohens Chemist,53.4994125366,-1.428408742
Lloydspharmacy,50.9179496765,-0.4541608095
Boots,50.6200714111,-3.412309885
Seacroft Pharmacy,53.8137130737,-1.4552018642
Lavenham Pharmacy,52.1080780029,0.7951495051
Superdrug,54.3290290833,-2.7465424538
Speeds,53.1937828064,-2.9283900261
Mahesh Chemists,51.5501403809,-0.0869683102
Lloydspharmacy,53.7664833069,-1.7765482664
Boots,53.7489242554,-2.6773626804
Cohens Chemist,51.6304931641,0.3273029029
Lloydspharmacy,52.6868019104,1.1972512007
Safedale Ltd,51.5645370483,0.1756741405
Netchem Pharmacy,53.591632843,-2.3132059574
Medipharma Chemist,52.4388122559,-1.9396437407
Haddenham Pharmacy,52.3613014221,0.149573341
Day Lewis Pharmacy,50.7471046448,-1.664183259
Boots,54.5253372192,-1.2403581142
Rowlands Pharmacy,54.5246696472,-1.5558212996
Lloydspharmacy,51.0804481506,-1.8634904623
Ashburton Pharmacy Limited,51.4571723938,-0.2276615053
Co-Op Pharmacy,53.0421295166,-2.2510073185
Sainsburys Supermarkets Ltd,53.2540512085,-1.4182533026
Morsy Lewis Pharmacy,53.3979377747,-3.0845644474
Herbert Pharmacy,51.4805679321,0.0694480538
Boots,51.5711669922,-0.1950636804
Lloydspharmacy,52.5734596252,-1.9963861704
Boots,51.4406280518,-0.3877450824
Boots,51.4805488586,-0.1944094598
Boots,55.1677703857,-1.6901744604
Boots,54.9898834229,-1.6675866842
Boots,52.2007102966,-1.7108631134
Rowlands Pharmacy,51.7230224609,-0.8295758367
Kamsons Pharmacy,51.1178588867,-0.1539454013
Baker Ha (Lewes) Ltd,50.8731040955,0.010697959
Tee Kay Enterprises Ltd,51.6654434204,-0.371607393
Lloydspharmacy,50.7266159058,-1.8170574903
Lloydspharmacy,51.8471107483,-2.1585628986
Manor Pharmacy,53.1468925476,-1.1997653246
The Co-Operative Pharmacy,52.6385192871,1.547847867
Courts Pharmacy,51.4024238586,-0.3725842535
Parade Pharmacy,51.5419807434,-0.3458643258
The Co-Operative Pharmacy,54.7996520996,-1.6702373028
Bretts Pharmacy,50.8408813477,-1.8379292488
Tesco In-Store Pharmacy,53.7147521973,-1.8772332668
Churchview Pharmacy,52.4740753174,-2.0660588741
Oakley Pharmacy,51.8995094299,-0.4664867222
Lads Chemist,52.6357574463,-1.1023886204
Medichem Pharmacy,53.741317749,-1.8312171698
Tesco Stores Limited,51.2029533386,-3.4658815861
Ve Lettsom Chemist,51.4708137512,-0.0824411511
Asset Chemist,51.4621810913,0.3547923863
Hackenthorpe Pharmacy,53.3455238342,-1.3743953705
Star Pharmacy,51.4971885681,-0.1336175501
